Year;Region;RegionCode;Country;CountryCode;DataCategory;DataCategoryCode;IndicatorCoverageAndDisaggregation;DataAvailableLast5Years;DataAvailableLast10Years;FirstAdministrativeLevel;SecondAdministrativeLevel;CoverageSubscore;MachineReadability;NonProprietary;DownloadOptions;MetadataAvailability;TermsOfUse;OpennessSubscore;OverallScore
2024;Northern Europe;EUN;Finland;FIN;Social statistics;3;9,5;8,5;9;6;4,5;37,5;9,5;10;8,5;7,5;9,5;45;82,5
2024;Northern Europe;EUN;Denmark;DNK;Social statistics;3;9;8;8,5;6;5;36,5;9;10;8;9;9;45;81,5
2020;Northern Europe;EUN;Finland;FIN;Social statistics;3;9,5;9;8,5;5;4,5;36,5;9;9;6;7;9;40;76,5
2024;Southern Europe;EUZ;Spain;ESP;Social statistics;3;8,5;7,5;8;8;4,5;36,5;9,5;10;7,5;7,5;5;39,5;76
2024;Eastern Europe;EUE;Poland;POL;Social statistics;3;9;8,5;8;7,5;3;36;10;10;9,5;9,5;10;49;85
2022;Northern Europe;EUN;Finland;FIN;Social statistics;3;8,5;8;8,5;5,5;5;35,5;9;10;7,5;7;9,5;43;78,5
2024;North America;AMN;Canada;CAN;Social statistics;3;8,5;8;8;7;3,5;35;9;10;7;9;4,5;39,5;74,5
2022;Eastern Europe;EUE;Poland;POL;Social statistics;3;9,5;8,5;7,5;6;3;34,5;10;10;5,5;8,5;10;44;78,5
2020;Eastern Europe;EUE;Poland;POL;Social statistics;3;9,5;9;8,5;4,5;3;34,5;10;10;5,5;7,5;10;43;77,5
2022;North America;AMN;Canada;CAN;Social statistics;3;8,5;7,5;7,5;6,5;4,5;34,5;9;10;5,5;9,5;4,5;38,5;73
2022;Northern Europe;EUN;Denmark;DNK;Social statistics;3;8,5;8,5;8;4,5;4,5;34;10;10;8;9,5;10;47,5;81,5
2024;Central Asia;ASC;Uzbekistan;UZB;Social statistics;3;8;7,5;8;6,5;4;34;10;10;7,5;7;10;44,5;78,5
2024;South-Eastern Asia;ASE;Malaysia;MYS;Social statistics;3;8,5;7,5;7;6,5;4;33,5;10;10;9;9,5;10;48,5;82
2024;Western Asia;ASW;United Arab Emirates;ARE;Social statistics;3;9,5;9;9;5,5;0;33;10;10;10;8;10;48;81
2024;Western Asia;ASW;Oman;OMN;Social statistics;3;8,5;7,5;7,5;6;3;32,5;10;10;10;9,5;10;49,5;82
2020;Western Europe;EUW;Netherlands;NLD;Social statistics;3;8,5;8,5;8,5;3,5;3,5;32,5;10;10;8;10;10;48;80,5
2022;North America;AMN;United States;USA;Social statistics;3;9;7;7;5,5;4;32,5;9,5;10;5,5;5;10;40;72,5
