Codigo;Machine readability;Non-proprietary;"Download options
";Metadata availability;"Terms of use
";Openness subscore
1;0,5;0,5;0,5;0,5;0;2
2;0,5;1;0,5;0,5;0;2,5
3;0;0;0;0;0;0
4;1;1;1;1;0;4
5;0;1;0;0,5;0;1,5
6;0;0;0;0;0;0
7;0;1;0,5;0;0;1,5
8;0,5;1;0,5;0,5;0;2,5
9;0,5;1;0,5;0,5;0;2,5
10;1;1;0,5;0,5;0;3
11;0,5;1;0,5;0,5;1;3,5
12;1;1;0,5;0,5;0,5;3,5
13;1;1;0,5;0,5;0;3
14;1;1;0,5;0,5;0;3
15;0,5;1;0;0,5;0;2
16;0;1;0,5;0,5;1;3
17;1;1;0,5;0,5;0;3
18;0,5;1;0,5;0,5;0;2,5
19;0;1;0,5;0,5;1;3
20;0,5;1;0,5;0,5;0;2,5
21;1;0,5;0,5;0,5;0;2,5
22;0,5;0,5;0,5;0,5;0,5;2,5
23;0;1;0,5;0,5;1;3
24;1;1;0,5;0,5;0;3
25;1;1;0,5;1;0;3,5
26;0,5;1;0,5;0,5;0,5;3
27;0,5;1;0,5;0,5;0,5;3
28;1;1;0,5;0,5;0,5;3,5
29;0,5;1;0,5;0,5;0;2,5
30;0,5;1;0,5;0,5;0;2,5
31;0,5;1;0,5;0,5;0,5;3
32;0,5;1;0,5;0,5;0,5;3
33;1;1;1;0,5;1;4,5
34;0,5;1;0,5;0,5;0;2,5
35;0,5;1;0,5;0,5;0,5;3
36;0;0;0;0;0;0
37;0,5;1;0,5;0,5;0,5;3
38;0;0;0;0;0;0
39;0;1;0,5;0,5;0;2
40;0;1;0,5;1;0;2,5
41;0,5;1;0,5;0,5;0;2,5
42;1;1;0,5;1;1;4,5
43;1;1;1;0,5;1;4,5
44;0,5;1;0,5;0,5;0;2,5
45;0,5;1;0,5;0,5;0;2,5
46;0,5;0,5;0,5;0,5;0,5;2,5
47;1;1;0,5;0,5;0,5;3,5
48;1;1;1;1;1;5
49;1;1;0,5;0,5;0;3
50;0;1;0,5;0;1;2,5
51;0,5;1;0,5;0,5;0;2,5
52;1;1;0,5;0,5;1;4
53;0;1;0;0,5;0;1,5
54;0;1;0,5;0,5;0;2
55;0;1;0,5;0,5;0;2
56;1;1;1;0,5;1;4,5
57;0;1;0,5;0,5;0;2
58;0,5;1;0,5;0,5;0;2,5
59;0;1;0,5;0,5;0;2
60;1;1;1;1;1;5
